enter_term_sys1,enter_term_sys2,leave_term_sys1,leave_term_sys2,win_rate,profit_loss_ratio,expectancy,mdd,final_whole_asset,positive_rate,median_asset,mean_asset,s1_return_median,s1_return_mean,s2_return_median,s2_return_mean,s1_max_consec_win,s1_max_consec_loss,s2_max_consec_win,s2_max_consec_loss,overall_max_consec_win,overall_max_consec_loss,final_win_count,final_loss_count,min_equity,min_realized_pnl,final_equity
6,55,5,20,0.3111111111111111,3.307607667377739,52.33509858955648,-0.2271591158788672,2417.8587761500344,0.9365256124721604,3006.7841782400283,2770.457313736273,-0.028590779758799763,-0.00838338820546833,-0.025811042750071993,0.009706604092898684,3,9,1,4,4,10,14,31,9985.478109759999,0.0,12417.858776150042
7,55,5,20,0.3023255813953488,3.4903126124898853,52.89448933907053,-0.22448896914380584,2337.24238120003,0.9365256124721604,2814.8332262700296,2579.7602870140545,-0.023922123822189542,-0.008188091508904994,-0.025811042750071993,0.008983051244536596,3,8,1,4,4,9,13,30,9985.478109759999,0.0,12337.242381200038
7,55,6,20,0.2682926829268293,4.1501340867578564,62.59620372097636,-0.21089598441331162,2629.2236921800245,0.9365256124721604,3106.814537250024,2801.1212761921024,-0.033795383568841264,-0.008410151976629438,-0.025305794604595897,0.021668879449594888,2,10,1,3,3,11,11,30,9985.478109759999,0.0,12629.223692180032
8,55,5,20,0.3,3.5754730742040373,56.53863825775079,-0.23109894050453686,2290.7780431500287,0.9365256124721604,2801.9157150000283,2641.6161737899893,-0.02608164514658135,-0.0066225813478438195,-0.029495872997159188,-0.0011402162261512194,2,6,1,5,3,8,12,28,9985.478109759999,0.0,12290.778043150036
8,55,6,20,0.2631578947368421,4.4362937197934755,72.08374471026384,-0.20582094853245725,2768.4148118300254,0.9365256124721604,3277.6102813250154,2913.8929308289516,-0.033795383568841264,-0.006807034613892531,-0.025811042750071993,0.00901126801493528,1,8,1,4,2,9,10,28,9985.478109759999,0.0,12768.414811830029
8,55,7,20,0.3055555555555556,3.320995475412614,59.137737774167334,-0.2366228186679954,2158.191072710023,0.9365256124721604,2730.7017116700217,2661.532314953105,-0.03590918551180887,-0.004792856874379185,-0.029247777286750536,0.007289526243587894,3,8,1,4,4,9,11,25,9985.478109759999,0.0,12158.191072710035
9,55,5,20,0.3076923076923077,3.094606181731144,43.1111099615392,-0.24425706831125843,1672.0220179200264,0.9365256124721604,2330.3621631900255,2217.4038489385284,-0.029622824772401527,-0.009599253034813923,-0.029495872997159188,-0.0011402162261512194,2,6,1,5,3,8,12,27,9985.478109759999,0.0,11672.022017920033
9,55,6,20,0.2702702702702703,3.821995956721443,56.168146760270986,-0.2253609905404413,2068.9101595500238,0.9365256124721604,2669.833849820023,2503.0942440136723,-0.033776178949978086,-0.009644354934076841,-0.025811042750071993,0.00901126801493528,1,8,1,4,2,9,10,27,9985.478109759999,0.0,12068.910159550032
9,55,7,20,0.2857142857142857,3.3607433940356355,49.383729048286426,-0.2494542037247349,1719.119246110025,0.9365256124721604,2396.9932426600126,2424.689323241881,-0.034833079921461896,-0.007172722079013671,-0.029247777286750536,0.007289526243587894,3,8,1,4,4,9,10,25,9985.478109759999,0.0,11719.119246110029
9,55,8,20,0.28125,3.9222501561127063,82.04744441312576,-0.22838402356837456,2595.0277567100234,0.9365256124721604,2860.0414343500215,2597.462670018072,-0.051348913271159764,-0.01713507670160923,-0.029190956629576166,0.015463413012288214,2,8,1,4,3,9,9,23,9985.478109759999,0.0,12595.027756710027
