date,dvol,px,rv,vrp,z,ivp,regime
2021-03-24,106.73,1573.5,,,,,
2021-03-25,105.39,1631.05,,,,,
2021-03-26,90.27,1694.1,,,,,
2021-03-27,87.46,1719.8,,,,,
2021-03-28,84.22,1705.8,,,,,
2021-03-29,88.24,1819.75,,,,,
2021-03-30,89.19,1815.1,,,,,
2021-03-31,93.88,1929.85,,,,,
2021-04-01,89.09,1998.0,,,,,
2021-04-02,94.81,2113.6,,,,,
2021-04-03,95.17,2037.25,,,,,
2021-04-04,93.72,2030.05,,,,,
2021-04-05,91.94,2100.75,,,,,
2021-04-06,92.31,2076.55,,,,,
2021-04-07,88.32,2029.7,,,,,
2021-04-08,86.21,2081.3,,,,,
2021-04-09,84.58,2171.25,,,,,
2021-04-10,90.53,2132.65,,,,,
2021-04-11,93.35,2186.8,,,,,
2021-04-12,96.81,2166.0,,,,,
2021-04-13,102.2,2373.7,,,,,
2021-04-14,94.57,2473.8,,,,,
2021-04-15,89.72,2432.45,,,,,
2021-04-16,85.47,2465.85,,,,,
2021-04-17,83.47,2211.6,,,,,
2021-04-18,97.12,2274.25,,,,,
2021-04-19,93.87,2096.6,,,,,
2021-04-20,94.36,2299.85,,,,,
2021-04-21,92.71,2473.85,87.22056899237522,5.489431007624773,,,
2021-04-22,91.92,2129.95,104.79128848829062,-12.871288488290617,,,
2021-04-23,94.38,2277.1,106.30058446189688,-11.92058446189688,,,
2021-04-24,100.44,2199.35,107.4857266768007,-7.045726676800697,,,
2021-04-25,101.64,2456.6,113.14495129124805,-11.504951291248048,,,
2021-04-26,91.39,2550.45,111.93196941963564,-20.541969419635635,,,
2021-04-27,92.29,2616.8,111.89912455099149,-19.60912455099148,,,
2021-04-28,88.95,2733.6,111.07984235081621,-22.129842350816205,,,
2021-04-29,94.2,2777.4,110.78807558228054,-16.58807558228054,,,
2021-04-30,95.97,2863.0,109.8088984657021,-13.838898465702101,,,
2021-05-01,98.0,2895.45,108.40447549942044,-10.404475499420442,,,
2021-05-02,95.95,3151.1,111.16837092021083,-15.21837092021083,,,
2021-05-03,111.48,3318.15,111.71717964799026,-0.23717964799025992,,,
2021-05-04,116.77,3343.0,111.30014877488532,5.469851225114681,,,
2021-05-05,117.82,3443.6,110.403745272388,7.416254727611999,,,
2021-05-06,115.85,3443.0,110.58158321776268,5.26841678223731,,,
2021-05-07,109.35,3536.4,110.27259267534475,-0.9225926753447595,,,
2021-05-08,113.49,3942.85,114.0641919773191,-0.5741919773191029,,,
2021-05-09,115.12,4117.1,114.31078719012737,0.8092128098726334,,,
2021-05-10,124.28,3967.55,115.72242753387607,8.55757246612393,,,
2021-05-11,127.51,4317.0,115.18513020298099,12.32486979701902,,,
2021-05-12,132.93,3968.5,120.80683788675049,12.12316211324952,,,
2021-05-13,124.53,3885.45,120.97258856118455,3.55741143881545,,,
2021-05-14,125.3,3915.4,121.01086472593943,4.28913527406057,,,
2021-05-15,128.69,3868.5,112.5107338590398,16.179266140960195,,,
2021-05-16,129.27,3522.75,119.43071245208519,9.839287547914822,,,
2021-05-17,131.11,3516.6,114.22785654934759,16.88214345065242,,,
2021-05-18,129.27,2986.5,127.82652316326046,1.4434768367395492,,,
2021-05-19,158.27,2718.5,130.67129006602488,27.59870993397513,,,
2021-05-20,181.68,2690.55,118.1343952670683,63.54560473293171,,,
2021-05-21,185.12,2249.1,133.47005356304118,51.64994643695883,,,
2021-05-22,186.76,2155.6,133.75643112047496,53.003568879525034,,,
2021-05-23,193.34,2292.8,129.50589044352213,63.83410955647787,,,
2021-05-24,165.51,2665.1,139.83228847521133,25.677711524788663,,,
2021-05-25,167.01,2893.1,142.50461168691896,24.505388313081028,,,
2021-05-26,162.34,2737.75,143.1886283150061,19.151371684993904,,,
2021-05-27,161.07,2568.35,144.8218548293105,16.248145170689497,,,
2021-05-28,170.2,2490.05,144.62377085793278,25.576229142067206,,,
2021-05-29,173.12,2454.6,144.53354220527373,28.58645779472627,,,
2021-05-30,156.16,2454.15,140.68699469660964,15.473005303390352,,,
2021-05-31,148.59,2653.55,142.47392508495145,6.116074915048557,,,
2021-06-01,149.88,2694.9,142.61516228913675,7.264837710863247,,,
2021-06-02,145.1,2820.85,143.2739969869747,1.8260030130252858,,,
2021-06-03,140.76,2618.9,145.2017102107498,-4.441710210749818,,,
2021-06-04,138.64,2784.25,146.83674061661264,-8.196740616612658,,,
2021-06-05,140.87,2690.4,140.56118968224737,0.3088103177526307,,,
2021-06-06,138.32,2767.5,139.86897694385513,-1.5489769438551377,,,
2021-06-07,138.24,2514.45,142.65184240581948,-4.4118424058194705,,,
2021-06-08,141.21,2504.2,137.87889806976318,3.3311019302368265,,,
2021-06-09,133.27,2547.9,136.3548136819098,-3.084813681909793,,,
2021-06-10,125.64,2443.4,136.6580521512944,-11.018052151294413,,,
2021-06-11,122.64,2322.7,136.87396600785348,-14.233966007853482,,,
2021-06-12,122.26,2322.9,137.0178050480837,-14.757805048083682,,,
2021-06-13,123.11,2500.7,137.85792009068774,-14.747920090687742,,,
2021-06-14,119.31,2620.95,139.41425411772212,-20.10425411772212,,,
2021-06-15,110.35,2526.6,128.0761296486248,-17.726129648624806,,,
2021-06-16,109.16,2442.35,124.40991267948782,-15.24991267948782,,,
2021-06-17,106.66,2337.55,125.20372642381088,-18.54372642381088,,,
2021-06-18,108.92,2244.8,108.6042797836468,0.31572021635319913,,,
2021-06-19,103.76,2202.05,107.73095239518268,-3.970952395182678,,,
2021-06-20,106.78,2011.2,110.014393812945,-3.234393812945001,,,
2021-06-21,124.43,1941.9,94.47459769424697,29.95540230575304,,,
2021-06-22,123.72,2005.25,89.56802277192747,34.151977228072525,,,
2021-06-23,118.16,1920.15,88.93930126472097,29.22069873527903,,,
2021-06-24,116.28,1944.95,87.32589485877503,28.95410514122497,,,
2021-06-25,118.58,1750.05,93.46206522860165,25.117934771398353,,,
2021-06-26,119.49,1866.15,97.34197052004232,22.14802947995767,,,
2021-06-27,117.59,2050.6,104.08188891104477,13.508111088955232,,,
2021-06-28,114.07,2129.55,100.73995639955393,13.33004360044606,,,
2021-06-29,109.67,2160.0,100.70277047689689,8.967229523103114,,,
2021-06-30,114.41,2128.4,98.77210355598724,15.637896444012753,,,
2021-07-01,113.77,2058.45,96.34096431725771,17.42903568274228,,,
2021-07-02,108.95,2194.6,96.61242988233165,12.33757011766835,,,
2021-07-03,107.32,2334.25,99.23002468143753,8.089975318562466,,,
2021-07-04,104.96,2272.2,98.742039980407,6.217960019592994,,,
2021-07-05,102.79,2338.4,93.89027686352675,8.899723136473256,,,
2021-07-06,106.33,2376.95,94.12719843662094,12.202801563379055,,,
2021-07-07,105.5,2180.95,98.41952327842563,7.080476721574371,,,
2021-07-08,107.88,2128.35,97.77188143576946,10.108118564230537,,,
2021-07-09,103.92,2121.45,96.3152949902062,7.604705009793804,,,
2021-07-10,104.72,2097.65,96.34849612303535,8.371503876964653,,,
2021-07-11,103.6,2143.85,92.59518766165951,11.004812338340486,,,
2021-07-12,103.41,2027.15,92.1835882044235,11.226411795576496,,,
2021-07-13,105.3,1898.0,93.88174020635944,11.418259793640559,,,
2021-07-14,101.34,1951.95,94.41074590878077,6.929254091219235,,,
2021-07-15,101.7,1913.7,93.60147817548624,8.098521824513767,,,
2021-07-16,100.98,1876.35,92.92412491029256,8.055875089707442,,,
2021-07-17,100.89,1959.85,94.44711530492708,6.4428846950729195,,,
2021-07-18,101.43,1891.5,89.77098821760427,11.659011782395737,,,
2021-07-19,106.48,1760.7,92.41639298604358,14.063607013956428,,,
2021-07-20,108.45,1875.9,94.62570623505346,13.824293764946546,0.38837799761246555,,
2021-07-21,108.34,1991.1,95.84612587375149,12.493874126248514,0.3068199976523621,,
2021-07-22,105.24,2063.75,96.55152505241918,8.688474947580815,0.07364784668823726,,
2021-07-23,101.97,2133.35,88.57725974778974,13.39274025221026,0.33364322805810137,,
2021-07-24,102.41,2175.45,86.20318241501901,16.206817584980982,0.48504601549276743,,
2021-07-25,103.05,2327.1,83.06539422686538,19.984605773134618,0.6900573253985373,,
2021-07-26,105.35,2203.55,84.68069507689397,20.669304923106026,0.7133641073692025,,
2021-07-27,108.34,2297.5,85.78744902018114,22.55255097981886,0.8085567800818251,,
2021-07-28,107.3,2295.4,85.57130984729449,21.72869015270551,0.7421857505012763,,
2021-07-29,106.81,2405.15,85.87778871115312,20.932211288846887,0.6758492906003242,,
2021-07-30,103.84,2443.1,83.25538796115687,20.584612038843133,0.6370522757224141,,
2021-07-31,102.22,2589.75,82.9557933632982,19.2642066367018,0.5374861802614105,,
2021-08-01,103.95,2616.0,82.20769157315647,21.742308426843536,0.6780599832985376,,
2021-08-02,102.98,2491.15,83.88153805134849,19.09846194865152,0.49474330293652463,,
2021-08-03,105.79,2478.75,83.7553550260611,22.03464497393891,0.6714700390657986,,
2021-08-04,109.75,2679.7,81.56200531086981,28.187994689130193,1.0474463915839698,,
2021-08-05,114.91,2771.7,81.21517256705609,33.69482743294391,1.3673587002514807,,
2021-08-06,111.07,2957.5,83.39158635493335,27.67841364506664,0.9640932575594747,,
2021-08-07,118.74,3138.55,84.59186612147734,34.14813387852266,1.3416862400945315,,
2021-08-08,115.71,2944.8,88.93798835125892,26.77201164874107,0.8581476658645525,,
2021-08-09,127.77,3145.55,87.40102904377908,40.36897095622092,1.666610733613229,,
2021-08-10,121.58,3234.1,82.16343457456045,39.41656542543954,1.567305166313256,,
2021-08-11,120.03,3142.4,83.80385485015043,36.22614514984957,1.3424271963113636,,
2021-08-12,115.36,3228.35,82.76100653944471,32.59899346055529,1.0985473244482635,,
2021-08-13,117.07,3310.7,81.56865290650906,35.501347093490935,1.2445345707386612,,
2021-08-14,112.41,3164.05,84.30250231337227,28.107497686627724,0.7912536331450339,,
2021-08-15,111.83,3278.25,82.25959818366493,29.570401816335064,0.8624481090557915,,
2021-08-16,111.98,3174.5,77.60514723763919,34.37485276236082,1.1286474181087887,,
2021-08-17,113.03,3030.0,79.55575766782539,33.47424233217461,1.0520911787149083,,
2021-08-18,112.93,2994.3,78.61058858033931,34.319411419660696,1.0932314981516427,,
2021-08-19,112.14,3216.9,80.87169430913134,31.268305690868658,0.9737490834969922,,
2021-08-20,110.2,3295.1,80.68114620896684,29.518853791033166,0.902778481304289,,
2021-08-21,108.21,3266.35,81.12044137464298,27.089558625357014,0.7910996651246823,,
2021-08-22,107.13,3327.3,78.78482354007362,28.34517645992638,0.9464583192527198,,
2021-08-23,107.08,3348.95,74.86007948183202,32.21992051816798,1.1989683512905887,,
2021-08-24,106.13,3185.35,77.60446427529804,28.525535724701953,0.9439986089269337,,
2021-08-25,103.62,3104.6,78.61789800943083,25.002101990569173,0.7005569825726777,,
2021-08-26,102.92,3129.45,77.50242306403642,25.41757693596358,0.71970000118867,,
2021-08-27,102.06,3232.05,77.89962907891498,24.16037092108502,0.6368544010556938,,
2021-08-28,98.27,3207.95,76.0522096587098,22.217790341290197,0.5128796026724679,,
2021-08-29,99.54,3182.55,76.24533271670239,23.294667283297613,0.5785656588505811,,
2021-08-30,103.79,3363.0,75.21815350809224,28.571846491907763,0.9142394492609399,,
2021-08-31,104.64,3520.45,75.98455907286149,28.655440927138514,0.9013198499365114,,
2021-09-01,113.63,3739.2,74.23981479072988,39.390185209270115,1.5761821571490298,,
2021-09-02,110.75,3799.2,73.82343199343877,36.926568006561226,1.3817784534286146,,
2021-09-03,106.48,3918.75,71.55717772963206,34.922822270367945,1.2252993461968038,,
2021-09-04,107.6,3873.7,69.57151318787713,38.028486812122864,1.3981476646022892,,
2021-09-05,109.21,3948.75,64.532536158349,44.67746384165099,1.7876684048058327,,
2021-09-06,107.56,3887.65,61.81414121505957,45.74585878494043,1.8089631786385716,,
2021-09-07,110.41,3263.15,89.02987564720974,21.38012435279026,0.2092031177233399,,
2021-09-08,107.7,3501.4,91.7153922962464,15.984607703753596,-0.15954636559820023,,
2021-09-09,106.28,3402.35,92.00973578425246,14.270264215747545,-0.2976077965325313,,
2021-09-10,104.56,3247.9,93.14268592856959,11.417314071430411,-0.5233310690668589,,
2021-09-11,105.08,3322.2,92.00705363818197,13.072946361818026,-0.4428354689473807,,
2021-09-12,106.1,3204.7,92.08212188223176,14.017878117768234,-0.4112219109650468,,
2021-09-13,106.25,3313.9,92.11108508413261,14.138914915867389,-0.4517894916720331,,
2021-09-14,106.64,3403.85,90.777766609369,15.862233390631005,-0.3640762456049436,,
2021-09-15,103.59,3636.05,93.15272177826624,10.437278221733763,-0.8681713862478865,,
2021-09-16,98.61,3521.2,90.98872190829272,7.621278091707282,-1.201101871201109,,
2021-09-17,98.52,3504.05,90.70439956956052,7.815600430439474,-1.2047721612032558,,
2021-09-18,97.54,3440.75,90.91535180006875,6.624648199931258,-1.3507063822150884,,
2021-09-19,96.98,3128.3,96.939979445476,0.04002055452400555,-1.9830519670564986,,
2021-09-20,104.64,3073.7,97.03480335489955,7.605196645100449,-1.2425170855061223,,
2021-09-21,111.21,2943.4,96.63612332505942,14.573876674940578,-0.5740662056675225,,
2021-09-22,100.77,3144.4,99.24575569956332,1.5242443004366777,-1.7509100267039253,,
2021-09-23,97.82,3084.85,99.44287986506775,-1.622879865067759,-1.975118227270973,,
2021-09-24,101.81,2889.0,101.27398304225967,0.5360169577403298,-1.7262994522560637,,
2021-09-25,100.44,2774.35,102.09461906215085,-1.6546190621508572,-1.8630572989703484,,
2021-09-26,100.62,3092.65,109.75968720785727,-9.139687207857264,-2.421441176754094,,
2021-09-27,104.71,2893.5,110.12171540648204,-5.411715406482045,-2.0399410616346247,,
2021-09-28,109.77,2922.55,108.67778169497684,1.0922183050231524,-1.4777150277786733,,
2021-09-29,104.62,3002.45,106.62586896447463,-2.0058689644746295,-1.6911889504337836,,
2021-09-30,103.19,3091.0,107.1085021133126,-3.9185021133125986,-1.7949604709970925,,
2021-10-01,96.12,3282.7,108.95493451575832,-12.83493451575832,-2.407846601997366,,
2021-10-02,94.17,3394.0,109.83323257842024,-15.663232578420235,-2.5216417247895646,,
2021-10-03,96.24,3381.55,109.48297478210856,-13.242974782108561,-2.266740907341263,,
2021-10-04,99.76,3390.95,109.45674319085458,-9.696743190854576,-1.9544583243425648,,
2021-10-05,100.91,3457.45,90.022617351596,10.887382648404,-0.4776574699339879,,
2021-10-06,101.65,3613.1,87.86621139956802,13.78378860043199,-0.2761510871792207,,
2021-10-07,101.57,3606.3,87.1917355945571,14.378264405442891,-0.2371221477030036,,
2021-10-08,99.01,3606.9,85.35605566316268,13.653944336837327,-0.29473135209154044,,
2021-10-09,97.63,3583.6,85.14050058778997,12.489499412210023,-0.38263183049194316,,
2021-10-10,98.5,3581.8,83.95834194882495,14.541658051175048,-0.23743083590107555,,
2021-10-11,98.99,3482.15,83.97990715117666,15.010092848823334,-0.20677521449376846,,
2021-10-12,101.29,3427.9,83.68067320150143,17.60932679849857,-0.023570324456102017,,
2021-10-13,101.07,3635.4,82.9775329102372,18.092467089762792,0.0025645399228482473,,
2021-10-14,102.76,3809.35,83.70754828975807,19.05245171024194,0.06381857091997666,,
2021-10-15,100.71,3852.6,83.71020981166048,16.999790188339517,-0.09336371019262303,,
2021-10-16,92.25,3880.95,83.33950077307716,8.910499226922838,-0.6882593434257633,,
2021-10-17,97.8,3837.95,75.18713582187806,22.61286417812194,0.3072413174688455,,
2021-10-18,103.18,3812.25,74.81506900674681,28.364930993253196,0.7159095079473313,,
2021-10-19,103.74,3860.6,72.43428868259761,31.305711317402384,0.9133802012819854,,
2021-10-20,113.61,4167.45,73.57704033233317,40.03295966766683,1.5096402529593103,,
2021-10-21,110.13,4147.1,73.01231046346669,37.117689536533305,1.269607929356421,,
2021-10-22,103.5,4016.5,69.32249311083719,34.177506889162814,1.0375208845954553,,
2021-10-23,103.74,4097.9,66.64429618948168,37.095703810518316,1.2192963411628153,,
2021-10-24,105.65,4153.65,56.84003959361227,48.80996040638774,1.980304056455657,,
2021-10-25,103.1,4199.6,49.27473413672043,53.82526586327956,2.236920025232095,,
2021-10-26,103.18,4137.45,50.273740332145756,52.90625966785425,2.099606561439052,,
2021-10-27,109.02,4011.9,52.22923214643846,56.79076785356153,2.26175651453594,,
2021-10-28,110.39,4314.8,56.40462659725461,53.98537340274539,2.0132182224840642,,
2021-10-29,107.13,4352.55,53.54342311569054,53.58657688430946,1.9250162303882397,,
2021-10-30,107.37,4322.4,53.16532437850776,54.20467562149224,1.900257548133946,,
2021-10-31,108.41,4309.25,53.146829666550865,55.26317033344913,1.902027991060576,,
2021-11-01,107.67,4344.6,53.10339580644994,54.56660419355006,1.8053806797181824,,
2021-11-02,111.84,4618.7,56.162655309342455,55.67734469065755,1.8138631661174434,,
2021-11-03,109.19,4519.7,55.85458169299036,53.33541830700964,1.6418423434881655,,
2021-11-04,107.17,4533.05,55.7693612329525,51.400638767047504,1.5068421550730338,,
2021-11-05,103.82,4471.75,56.239199557743,47.580800442256994,1.2737807153641587,,
2021-11-06,106.48,4546.5,56.076518447558854,50.40348155244115,1.404343015424122,,
2021-11-07,104.02,4729.65,57.02445376468608,46.99554623531392,1.1990773196576734,,
2021-11-08,105.13,4784.6,55.27303352999782,49.85696647000218,1.3383736869037008,,
2021-11-09,104.51,4716.15,55.19242058408778,49.31757941591223,1.2961198058362107,,
2021-11-10,105.05,4691.15,52.63918517911662,52.410814820883374,1.4363585431157897,,
2021-11-11,103.92,4707.3,50.81061319719148,53.10938680280852,1.4453473426945325,,
2021-11-12,107.06,4643.9,51.33391506027699,55.72608493972301,1.5506558716408336,,
2021-11-13,105.93,4598.45,51.66489524672618,54.265104753273825,1.4443362933028532,,
2021-11-14,103.24,4681.0,51.42709910485195,51.81290089514805,1.2960013485467852,,
2021-11-15,102.78,4307.2,60.46441334073405,42.31558665926595,0.8136235584811364,,
2021-11-16,110.64,4179.55,61.58943128937763,49.05056871062237,1.1342613472614784,,
2021-11-17,109.74,4251.75,55.6457353705853,54.094264629414695,1.3608809377257396,,
2021-11-18,112.49,4062.3,58.00036216676438,54.48963783323561,1.3541959938204244,,
2021-11-19,106.59,4286.6,59.91135266233402,46.678647337665986,0.9598763053853424,,
2021-11-20,106.77,4353.95,59.75946675748266,47.01053324251733,0.9603902760895076,,
2021-11-21,106.26,4191.2,61.26424740014302,44.995752599856985,0.8510461739212367,,
2021-11-22,112.04,4108.9,61.538251555448255,50.50174844455175,1.0985957992163011,,
2021-11-23,110.9,4274.45,62.91778766084324,47.98221233915677,0.963247428653514,,
2021-11-24,109.53,4299.5,61.82186825150433,47.708131748495674,0.9339303160575252,,
2021-11-25,106.62,4345.5,56.28660434124191,50.33339565875809,1.0387639857847313,,
2021-11-26,107.26,4124.2,59.17045512148439,48.08954487851562,0.9169663722943149,,
2021-11-27,103.51,4073.2,59.263238130640175,44.24676186935983,0.7243085439035739,,
2021-11-28,105.58,4357.95,64.20258575454287,41.37741424545713,0.5804081923498933,,
2021-11-29,104.75,4415.95,64.30715639898555,40.442843601014445,0.5300095836502006,,
2021-11-30,105.95,4774.75,66.6265206823085,39.32347931769151,0.4719591175330968,,
2021-12-01,106.36,4564.55,68.16748720533829,38.19251279466171,0.42019240576229,,
2021-12-02,106.91,4575.95,68.16541869049321,38.744581309506785,0.44472923517734253,,
2021-12-03,106.88,3898.3,88.7899691752559,18.09003082474409,-0.5047314372638619,,
2021-12-04,106.71,4204.65,93.0220804804653,13.687919519534688,-0.6952285912281037,,
2021-12-05,109.05,4077.95,92.1842411757749,16.865758824225097,-0.534781348165734,,
2021-12-06,107.38,4362.25,95.57812851640158,11.801871483598418,-0.7525380716356003,,
2021-12-07,106.56,4372.55,95.50893351359508,11.05106648640492,-0.779855092408259,,
2021-12-08,107.08,4383.9,95.52187428955872,11.558125710441274,-0.753055477295531,,
2021-12-09,109.56,4029.1,99.80010309664475,9.759896903355255,-0.8324006911043094,,
2021-12-10,112.23,3979.2,99.78938517785588,12.440614822144127,-0.7096257861843192,,
2021-12-11,108.69,4060.15,100.18539281485033,8.504607185149666,-0.8871929922673839,,
2021-12-12,112.55,3989.2,99.94726314286054,12.602736857139462,-0.6975197279242308,,
2021-12-13,112.45,3783.15,97.43678994054994,15.01321005945006,-0.5872248910369327,,
2021-12-14,110.34,3864.8,97.3919780722799,12.948021927720106,-0.6801705459995168,,
2021-12-15,109.05,4025.2,98.37224815512211,10.67775184487789,-0.7847452540896306,,
2021-12-16,103.39,3884.45,97.8572211291412,5.532778870858806,-1.0192121039645996,,
2021-12-17,100.11,3895.2,95.74521558433209,4.364784415667913,-1.0692726814550682,,
2021-12-18,100.48,3980.8,95.92897383738213,4.551026162617873,-1.0585683714449148,,
2021-12-19,102.47,3825.55,96.01066126922508,6.459338730774917,-0.9779330678685849,,
2021-12-20,102.37,4008.7,97.40543415219614,4.964565847803868,-1.0439458527767738,,
2021-12-21,102.21,4052.4,96.38122662772601,5.828773372273986,-0.9963399318396716,,
2021-12-22,99.7,3913.75,97.03086088117881,2.6691391188211924,-1.14223804237857,,
2021-12-23,93.93,4091.0,98.38778214870881,-4.457782148708802,-1.4641644669676992,,
2021-12-24,94.03,4055.5,96.69313348869028,-2.6631334886902778,-1.3776688428244046,,
2021-12-25,91.73,4039.8,96.6040267311968,-4.874026731196793,-1.473525737579054,,
2021-12-26,88.58,4055.9,93.35669989850477,-4.7766998985047735,-1.4763415461597933,,
2021-12-27,92.17,3920.2,93.81710074675644,-1.6471007467564363,-1.3389669020155963,,
2021-12-28,88.8,3798.4,89.20977543527299,-0.40977543527299076,-1.280371969777047,,
2021-12-29,93.37,3710.65,88.37024616431385,4.99975383568615,-1.0409152194072777,,
2021-12-30,92.62,3720.85,88.3739484061393,4.246051593860699,-1.0853178163758141,,
2021-12-31,83.1,3718.2,68.19277652927767,14.907223470722329,-0.6181321764860409,,
2022-01-01,79.38,3748.65,62.144651185872256,17.23534881412774,-0.5376370767709016,,
2022-01-02,80.9,3808.5,61.74321870126709,19.156781298732916,-0.4724815014179442,,
2022-01-03,80.04,3765.0,56.197710654560886,23.84228934543912,-0.26573269524520954,,
2022-01-04,79.12,3818.0,56.55292558454593,22.567074415454073,-0.33738987238635243,,
2022-01-05,85.44,3450.9,65.94365010095625,19.49634989904375,-0.4959660071803294,,
2022-01-06,80.89,3201.25,64.61806901040634,16.271930989593656,-0.6599807786543005,,
2022-01-07,84.85,3217.1,64.76330707946191,20.086692920538084,-0.47224317713244807,,
2022-01-08,83.21,3127.9,64.32814742320507,18.881852576794927,-0.538019024009225,,
2022-01-09,84.36,3164.0,64.6646019307783,19.695398069221696,-0.5005731766224296,,
2022-01-10,85.77,3129.05,62.555927025787895,23.2140729742121,-0.327347135702897,,
2022-01-11,82.17,3216.25,62.95205389478413,19.217946105215873,-0.5318514540419419,,
2022-01-12,79.85,3341.45,62.71560917477261,17.134390825227385,-0.6371762357483803,,
2022-01-13,75.5,3268.45,62.082732833547425,13.417267166452575,-0.8214328750615063,,
