date,regime,ivp,z,dvol,covered_call,short_strangle_ps,long_straddle
2022-03-24,CHEAP,1.37,-0.872,65.47,0.024288246962330343,0.0434950404899646,-0.05080447243445259
2022-03-25,CHEAP,0.27,-1.085,62.41,0.023248237660161323,-0.0017795011595063623,0.008665686390187638
2022-03-26,CHEAP,2.19,-0.75,66.62,0.024676878098481642,0.04425907131260941,-0.05790734318247345
2022-03-27,CHEAP,3.83,-0.703,68.62,0.025349888405376664,-0.027459735651862147,0.03727856707588592
2022-03-28,CHEAP,0.82,-0.026,63.04,0.023463062866140316,-0.03972009794855082,0.0508238149682943
2022-03-29,CHEAP,0.0,-0.104,62.04,0.023121899225261044,-0.03668753783161763,0.04740862251347722
2022-03-30,CHEAP,0.82,-0.067,62.44,0.023258475758964538,-0.0575862936977265,0.07063312477034506
2022-03-31,NORMAL,1.64,0.058,64.11,0.023827084914177742,-0.022103863698478998,0.0312643663306677
2022-04-01,NORMAL,0.0,0.027,59.54,0.02226492624292296,-0.044657711348117045,0.05608842013651352
2022-04-02,NORMAL,0.0,0.007,59.26,0.02216858209555863,-0.04836022990389973,0.060160600156247135
2022-04-03,NORMAL,0.27,0.217,59.47,0.022240847085847115,-0.039253526301411774,0.05010804466538327
2022-04-04,NORMAL,0.82,0.326,60.54,0.02260841420170238,-0.02511484926438122,0.03451661586539728
2022-04-05,NORMAL,2.19,1.0,62.88,0.023408538853979505,-0.07440546129610381,0.09446649953623074
2022-04-06,NORMAL,4.64,1.529,66.05,0.024484403298824974,-0.04065324163426466,0.051985255463465746
2022-04-07,NORMAL,1.09,1.194,61.74,0.023019369480057148,-0.07520610470249953,0.1173791372412347
2022-04-08,NORMAL,1.64,1.107,62.19,0.023173132799003005,-0.07585405685822719,0.1186778377915021
2022-04-09,NORMAL,0.82,0.92,59.72,0.022326823026585094,-0.08070654251710598,0.2055914168486606
2022-04-10,NORMAL,1.37,1.029,61.08,0.022793509855486196,-0.08524841949631334,0.2362500799424996
2022-04-11,NORMAL,7.65,1.319,68.28,0.025235732896906726,-0.09965047287213868,0.28515307677258733
2022-04-12,NORMAL,4.64,1.185,65.22,0.024203601840542238,-0.08489997100418147,0.175729041206477
2022-04-13,NORMAL,4.1,1.066,63.61,0.023657112544469262,-0.09009692958271168,0.25214831948199834
2022-04-14,NORMAL,2.19,0.876,62.1,0.02314239515758116,-0.08343541339443572,0.2019593269651481
2022-04-15,NORMAL,1.09,0.819,60.4,0.022560382086009616,-0.08301838660942107,0.2215190661261689
2022-04-16,NORMAL,1.64,0.879,61.05,0.02278323388628276,-0.0800803651834851,0.17987040615336525
2022-04-17,NORMAL,4.92,0.991,63.59,0.023650308858232116,-0.08041317466823356,0.14963079455086623
2022-04-18,NORMAL,4.92,0.846,63.47,0.023609478994816177,-0.08894694146438788,0.24191877848372456
2022-04-19,NORMAL,4.1,0.748,62.46,0.02326530069522769,-0.08521142192540936,0.21613502398457415
2022-04-20,NORMAL,3.01,0.781,62.19,0.023173132799003,-0.09020097099880131,0.27391866119937336
2022-04-21,NORMAL,5.74,0.889,63.51,0.02362309042489278,-0.08805981710823023,0.23192572802175945
2022-04-22,NORMAL,2.19,0.668,61.12,0.02280720984517264,-0.0778879330511223,0.15482648451962983
2022-04-23,NORMAL,2.46,0.715,61.34,0.022882533187801708,-0.0828086550044663,0.2057610612426937
2022-04-24,NORMAL,5.19,1.128,62.62,0.02331988685605392,-0.07889906163626126,0.14600015613187772
2022-04-25,NORMAL,9.02,0.995,65.57,0.024322088981635265,-0.0886138269835968,0.20963639787494284
2022-04-26,NORMAL,10.11,1.022,66.78,0.0247308528244839,-0.08834941015533468,0.19111729501700506
2022-04-27,NORMAL,7.65,0.866,65.09,0.02415956373979523,-0.08791418531641729,0.20877875248518038
2022-04-28,NORMAL,6.01,0.883,63.0,0.023449434080905992,-0.08589558864759575,0.21595536671571594
2022-04-29,NORMAL,1.37,0.823,60.54,0.02260841420170235,-0.07382072692168679,0.1176391302093659
2022-04-30,NORMAL,4.64,0.969,62.23,0.02318679156339352,-0.042500461974517394,0.053870272998535224
2022-05-01,NORMAL,5.19,0.876,62.44,0.02325847575896452,-0.07212771527989285,0.08677988325388253
2022-05-02,NORMAL,5.19,0.906,62.42,0.02325165045235472,-0.07796727551322125,0.13855790020606823
2022-05-03,NORMAL,9.02,1.195,64.92,0.02410195206814177,-0.07877161932515968,0.1157026213613297
2022-05-04,NORMAL,1.91,0.877,60.58,0.022622134306832655,-0.08039898446369174,0.18992253880442303
2022-05-05,NORMAL,7.92,0.375,63.13,0.023493722228642613,-0.06231642576075172,0.07594351522622289
2022-05-06,NORMAL,4.1,0.337,62.19,0.02317313279900306,0.008251489041353262,-0.002466774250516862
2022-05-07,NORMAL,9.84,0.491,64.87,0.024085002412657684,-0.006446744500513385,0.013828639039678237
2022-05-08,NORMAL,15.03,0.769,68.59,0.025339820072847172,0.04556843882363986,-0.0675966484260124
