date,regime,ivp,z,dvol,covered_call,short_strangle_ps,long_straddle
2022-03-24,NORMAL,2.46,0.197,76.06,0.027821894735566222,0.05054068971183015,-0.1202196953974494
2022-03-25,NORMAL,0.0,0.059,70.71,0.026049314518341485,0.04697833935324196,-0.054260090935151536
2022-03-26,NORMAL,0.55,0.139,71.33,0.026256043443619332,0.047390842895398355,-0.1199464977699545
2022-03-27,NORMAL,0.82,0.164,71.65,0.026362607330496453,0.0255818077551097,-0.022395086936399966
2022-03-28,NORMAL,1.64,0.841,72.6,0.026678428957765125,0.011778699859991082,-0.006944438029835909
2022-03-29,NORMAL,0.55,0.739,71.14,0.026192727697048623,0.01013444387153594,-0.0049865962068232905
2022-03-30,NORMAL,0.55,0.756,70.8,0.026079344971797456,-0.02407722662748696,0.03346800239451436
2022-03-31,NORMAL,3.55,1.237,75.03,0.027482608117698266,-0.000995099821743367,0.007279946586532748
2022-04-01,NORMAL,0.0,0.88,70.62,0.026019276785376234,-0.04477525556763766,0.05671599851984285
2022-04-02,NORMAL,0.0,0.762,68.77,0.02540021784584244,-0.04974196743198653,0.06224009273794587
2022-04-03,NORMAL,0.27,1.073,69.33,0.025587934600109816,-0.05792206905388714,0.07142899213435411
2022-04-04,NORMAL,0.0,1.051,68.69,0.025373378012261315,-0.028063760491918582,0.03795517220518743
2022-04-05,NORMAL,1.91,1.299,70.89,0.026109368148095405,-0.04393371504984709,0.05577486931605402
2022-04-06,NORMAL,6.28,1.922,77.04,0.028143842741869183,-0.014664876423371748,0.02260863945874811
2022-04-07,NORMAL,3.83,1.593,72.68,0.026704987648454494,-0.0873221740412977,0.11109810913311877
2022-04-08,NORMAL,1.09,1.393,70.66,0.02603262778777165,-0.08819153546986627,0.14220640379998067
2022-04-09,NORMAL,0.0,1.136,66.75,0.024720734341170003,-0.089881585019182,0.2071086744344824
2022-04-10,NORMAL,1.09,1.339,70.45,0.025962518975635444,-0.09432789093612523,0.20435839008997128
2022-04-11,NORMAL,5.19,1.386,73.72,0.027049731501991314,-0.12209583878698904,0.42552715406732594
2022-04-12,NORMAL,1.09,1.246,69.88,0.025772023573585164,-0.10615309097248488,0.3273213495036085
2022-04-13,NORMAL,0.82,1.298,69.25,0.025561135275082407,-0.10950302846924975,0.3692602393262915
2022-04-14,NORMAL,0.27,1.055,66.83,0.024747715140403102,-0.10209290908451507,0.3303196179680622
2022-04-15,NORMAL,0.0,1.11,65.38,0.02425778131494917,-0.10217007179307244,0.352708365706678
2022-04-16,NORMAL,0.0,1.081,65.07,0.024152787271969848,-0.09785592055390108,0.312532447705373
2022-04-17,NORMAL,1.09,1.011,66.91,0.024774690107147238,-0.09528648514922093,0.25996633710825456
